"";"countryname";"WorldRegion";"SteadyRain";"PathogenPrevalence";"LogIncome";"Temperature";"PAbalance";"UVR";"LifeSatisfaction";"PositiveAffect";"NegativeAffect";"EmotionalRange";"PAresidual";"NAresiduaL";"SumPANAresiduals"
"1";"Albani";3;0,152;-1,881;8398;12,5352249145508;69,09;123,054061889648;5,51;1,99;0,81;2,8;-0,094343954651096;-0,00926585027217175;-0,103609804923268
"2";"Argent";4;0,514;1,264;9408;13,6202735900879;79,66;186,181823730469;6,47;2,43;0,82;3,25;0,349000703406618;0,152240322476535;0,501241025883153
"3";"Armeni";4;0,151;-1,277;8089;7,1696982383728;45,43;134,534896850586;4,32;1,49;1,39;2,88;-0,400353787303677;0,398568044331571;-0,00178574297210587
"4";"Austra";4;0,732;-1,12;10243;21,6368370056152;77,79;163,404998779297;7,2;2,24;0,64;2,88;0,0987968583677641;-0,0931827975740431;0,00561406079372095
"5";"Austri";3;0,464;-1,724;10289;7,15641164779663;82,87;86,7584381103516;7,4;2,28;0,47;2,75;0,0819376713866236;-0,249409509142343;-0,167471837755719
"6";"Belgiu";3;0,558;-1,729;10262;9,82148742675781;77,66;69,4787216186523;6,94;2,3;0,71;3,01;0,182209464771763;-0,00252286492649245;0,17968659984527
"7";"Bolivi";1;0,07;1,854;7838;21,018367767334;65,3;306,101257324219;6,02;2,22;1,23;3,45;0,276131683772897;0,489930558210107;0,766062241983004
"8";"Bosnia";3;0,379;-1,738;8780;10,2;56,11;104,71;4,77;1,63;1,01;2,64;-0,387450793496814;0,0667745538425231;-0,320676239654291
"9";"Botswa";2;0;0,522;9040;22,3721466064453;79,68;243,114868164062;4,84;2,25;0,51;2,76;0,0653163036174802;-0,219739475466118;-0,154423171848638
"10";"Brazil";1;0,299;3,953;8970;24,5074157714844;73,84;232,214630126953;6,93;2,15;0,92;3,07;0,102447283983759;0,155827303454631;0,25827458743839
"11";"Bulgar";3;0,322;-1,439;8850;10,5193557739258;64,53;111,032775878906;4,22;1,79;0,71;2,5;-0,327790535228237;-0,178132292430675;-0,505922827658912
"12";"Camero";2;0,078;3,972;7580;25,1043434143066;67,97;259,555755615234;4,24;1,94;0,85;2,79;-0,13096532242024;0,0135175391882025;-0,117447783232037
"13";"Canada";4;0,629;-1,872;10293;-7,08621406555176;82,1;85,9491119384766;7,42;2,37;0,69;3,06;0,245520148656334;0,00158038982898367;0,247100538485318
"14";"Centra";2;0,02;4,119;7043;24,9804267883301;62,02;267,446166992188;3,68;1,79;0,83;2,62;-0,287654638535668;-0,0581322924306746;-0,345786930966342
"15";"Chile";4;0,036;-0,083;9214;7,64214563369751;73,99;195,812377929688;6,6;2,25;0,86;3,11;0,182379335637474;0,130260524533882;0,312639860171356
"16";"China";4;0,012;1,85;8480;6,69530057907104;85,29;146,299621582031;5,09;2,45;0,48;2,93;0,255282329444338;-0,180873033307615;0,0744092961367226
"17";"Colomb";1;0,319;3,972;8799;25,0867881774902;77,64;272,176086425781;6,37;2,45;0,88;3,33;0,389068651752903;0,219126966692385;0,608195618445288
"18";"Croati";3;0,479;-1,586;9228;10,7505531311035;63,01;99,6917037963867;6,03;1,79;0,81;2,6;-0,294343954651096;-0,0781322924306745;-0,372476247081771
"19";"Czech";3;0,265;-1,881;9775;7,91329002380371;67,68;79,6007080078125;6,33;1,92;0,77;2,69;-0,177722586881953;-0,0733691050276477;-0,2510916919096
"20";"Denmar";3;0,451;-1,872;10314;8,13337516784668;82,74;56,5275039672852;7,52;2,38;0,63;3,01;0,235452200310049;-0,0549762880630912;0,180475912246958
"21";"Domini";1;0,531;0,531;8811;25,2268466949463;72,45;250,162536621094;4,75;2,2;0,89;3,09;0,142413309810617;0,143043913994256;0,285457223804873
"22";"Ecuado";1;0,114;2,002;8184;23,0469150543213;75,92;300,211975097656;5,96;2,38;1;3,38;0,359204548445472;0,315023711936909;0,674228260382381
"23";"Estoni";3;0,493;-1,581;9417;5,69905281066895;73,88;51,4163055419922;5,37;1,96;0,6;2,56;-0,194581773863093;-0,229595816595947;-0,42417759045904
"24";"Finlan";3;0,493;-2,024;10205;1,61695241928101;79,01;46,6115379333496;7,42;2,19;0,6;2,79;0,0354182261369074;-0,150399408113669;-0,114981181976762
