"";"Country";"RandomSubSamples";"HomicideRate";"SeasonalVariationTemperature";"AdolescentPregnancy2011";"MeanYearsSchooling";"BeckerIQ";"PathogenPrevalence";"RainVolume";"AverageTemperature";"Continent";"AggressionComposite";"SteadyRain";"UVRadiation";"PerCapitaIncome"
"1";"Afghanis";1;6,5;80;107,26;3,3;71,57;0,374;0,27;12,57;3;1,834;0;198,7;6,81
"2";"Albania";1;5;62;20,28;10,4;82,32;-1,881;1,04;12,54;2;0,052;0,152;123,05;8,398
"3";"Algeria";2;0,7;55;11,18;7;85,08;1,264;0,09;23,15;1;0,51;0;160,28;8,681
"4";"Angola";1;10;30;170,17;4,4;67,4;3,224;0,96;22,17;1;0,021;0;260,85;7,68
"5";"Argentin";1;5,5;65;63,44;9,3;87,91;1,264;0,66;13,62;4;0,18;0,514;186,18;9,408
"6";"Armenia";2;1,8;89;25,43;10,8;90,91;-1,277;0,46;7,17;3;-0,019;0,151;134,53;8,089
"7";"Australi";1;1,1;76;13,26;12;99,86;-1,12;0,5;21,64;5;-0,992;0,732;163,4;10,243
"8";"Austria";1;0,9;83;9;10,8;99,28;-1,724;0,98;7,16;2;-1,481;0,464;86,76;10,289
"9";"Azerbaij";1;2,1;89;47,09;8,6;87,11;-1,129;0,45;10,42;3;0,365;0,151;133,74;8,141
"10";"Banglade";1;2,7;44;89,7;4,8;80,02;0,07;2,55;24,99;3;0,732;0,005;204,89;7,452
"11";"Belarus";1;5,1;101;31,56;9,3;96,54;-1,429;0,61;6,41;2;0,917;0,409;62,67;8,807
"12";"Belgium";1;1,6;79;6,83;10,9;99,56;-1,729;0,81;9,82;2;-1,173;0,558;69,48;10,262
"13";"Benin";2;8,4;26;98,83;3,3;71,51;2,929;1,02;27,06;1;-0,031;0,036;255,58;6,957
"14";"Bhutan";1;1,7;44;31,97;2,3;74,7;-1,129;2,08;12,22;3;-0,079;0,008;195,93;7,433
"15";"Bolivia";2;12,1;51;74,7;9,2;83,36;1,854;1,16;21,02;4;-0,001;0,07;306,1;7,838
"16";"Bosnia";2;1,3;80;12,88;8,7;92,11;-1,738;1,05;10,2;2;-0,346;0,379;104,71;8,78
"17";"Botswana";2;18,4;67;48,25;8,9;75,42;0,522;0,38;22,37;1;-0,54;0;243,11;9,04
"18";"Brazil";1;25,2;43;65,47;7,2;84,44;3,953;1,77;24,51;4;-0,192;0,299;232,21;8,97
"19";"Bulgaria";2;1,9;78;44,25;10,6;94;-1,439;0,56;10,52;2;-0,14;0,322;111,03;8,85
"20";"BurkinaF";1;8;58;118,26;1,3;66,35;3,815;0,78;28,14;1;0,023;0;269,22;6,986
"21";"Burundi";1;8;22;61,59;2,7;68,44;2,625;1,11;21,04;1;-1,213;0,04;272,41;6,45
"22";"Cambodia";2;6,5;39;48,45;5,8;85,18;1,997;1,79;26,81;3;0,395;0,027;262,96;7,589
"23";"Cameroon";1;7,6;36;123,12;5,9;62,28;3,972;1,47;25,1;1;-0,754;0,078;259,56;7,58
"24";"Canada";1;1,6;105;11,93;12,1;101,22;-1,872;0,46;-7;4;-1,066;0,629;85,95;10,293
"25";"CAR";2;11,8;40;139,55;3,5;62,28;4,119;1,3;24,98;1;0,701;0,02;267,45;7,043
